UserName,ScreenName,Location,TweetAt,OriginalTweet,Sentiment,TokenizedTweet,Cleantweet
1,44953,NYC,02-03-2020,"TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans in Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) as #coronavirus-fearing shoppers stock up https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1",Extremely Negative,"['TRENDING', ':', 'New', 'Yorkers', 'encounter', 'empty', 'supermarket', 'shelves', '(', 'pictured', ',', 'Wegmans', 'in', 'Brooklyn', ')', ',', 'sold-out', 'online', 'grocers', '(', 'FoodKick', ',', 'MaxDelivery', ')', 'as', '#', 'coronavirus-fearing', 'shoppers', 'stock', 'up', 'https', ':', '//t.co/Gr76pcrLWh', 'https', ':', '//t.co/ivMKMsqdT1']","TRENDING: New Yorkers encounter empty supermarket shelves (pictured, Wegmans Brooklyn), sold-out online grocers (FoodKick, MaxDelivery) #coronavirus-fearing shoppers stock https://t.co/Gr76pcrLWh https://t.co/ivMKMsqdT1"
2,44954,"Seattle, WA",02-03-2020,"When I couldn't find hand sanitizer at Fred Meyer, I turned to #Amazon. But $114.97 for a 2 pack of Purell??!!Check out how  #coronavirus concerns are driving up prices. https://t.co/ygbipBflMY",Positive,"['When', 'I', 'could', ""n't"", 'find', 'hand', 'sanitizer', 'at', 'Fred', 'Meyer', ',', 'I', 'turned', 'to', '#', 'Amazon', '.', 'But', '$', '114.97', 'for', 'a', '2', 'pack', 'of', 'Purell', '?', '?', '!', '!', 'Check', 'out', 'how', '#', 'coronavirus', 'concerns', 'are', 'driving', 'up', 'prices', '.', 'https', ':', '//t.co/ygbipBflMY']","find hand sanitizer Fred Meyer, turned #Amazon. $114.97 2 pack Purell??!!Check #coronavirus concerns driving prices. https://t.co/ygbipBflMY"
4,44956,Chicagoland,02-03-2020,"#Panic buying hits #NewYork City as anxious shoppers stock up on food&amp;medical supplies after #healthcare worker in her 30s becomes #BigApple 1st confirmed #coronavirus patient OR a #Bloomberg staged event?

https://t.co/IASiReGPC4

#QAnon #QAnon2018 #QAnon2020 
#Election2020 #CDC https://t.co/29isZOewxu",Negative,"['#', 'Panic', 'buying', 'hits', '#', 'NewYork', 'City', 'as', 'anxious', 'shoppers', 'stock', 'up', 'on', 'food', '&', 'amp', ';', 'medical', 'supplies', 'after', '#', 'healthcare', 'worker', 'in', 'her', '30s', 'becomes', '#', 'BigApple', '1st', 'confirmed', '#', 'coronavirus', 'patient', 'OR', 'a', '#', 'Bloomberg', 'staged', 'event', '?', 'https', ':', '//t.co/IASiReGPC4', '#', 'QAnon', '#', 'QAnon2018', '#', 'QAnon2020', '#', 'Election2020', '#', 'CDC', 'https', ':', '//t.co/29isZOewxu']",#Panic buying hits #NewYork City anxious shoppers stock food&amp;medical supplies #healthcare worker 30s becomes #BigApple 1st confirmed #coronavirus patient #Bloomberg staged event? https://t.co/IASiReGPC4 #QAnon #QAnon2018 #QAnon2020 #Election2020 #CDC https://t.co/29isZOewxu
5,44957,"Melbourne, Victoria",03-03-2020,#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News  #Corvid19 #7NewsMelb #dunnypapergate #Costco    One week everyone buying baby milk powder the next everyone buying up toilet paper. https://t.co/ScZryVvsIh,Neutral,"['#', 'toiletpaper', '#', 'dunnypaper', '#', 'coronavirus', '#', 'coronavirusaustralia', '#', 'CoronaVirusUpdate', '#', 'Covid_19', '#', '9News', '#', 'Corvid19', '#', '7NewsMelb', '#', 'dunnypapergate', '#', 'Costco', 'One', 'week', 'everyone', 'buying', 'baby', 'milk', 'powder', 'the', 'next', 'everyone', 'buying', 'up', 'toilet', 'paper', '.', 'https', ':', '//t.co/ScZryVvsIh']",#toiletpaper #dunnypaper #coronavirus #coronavirusaustralia #CoronaVirusUpdate #Covid_19 #9News #Corvid19 #7NewsMelb #dunnypapergate #Costco One week everyone buying baby milk powder next everyone buying toilet paper. https://t.co/ScZryVvsIh
6,44958,Los Angeles,03-03-2020,Do you remember the last time you paid $2.99 a gallon for regular gas in Los Angeles?Prices at the pump are going down. A look at how the #coronavirus is impacting prices. 4pm @ABC7 https://t.co/Pyzq8YMuV5,Neutral,"['Do', 'you', 'remember', 'the', 'last', 'time', 'you', 'paid', '$', '2.99', 'a', 'gallon', 'for', 'regular', 'gas', 'in', 'Los', 'Angeles', '?', 'Prices', 'at', 'the', 'pump', 'are', 'going', 'down', '.', 'A', 'look', 'at', 'how', 'the', '#', 'coronavirus', 'is', 'impacting', 'prices', '.', '4pm', '@', 'ABC7', 'https', ':', '//t.co/Pyzq8YMuV5']",remember last time paid $2.99 gallon regular gas Los Angeles?Prices pump going down. look #coronavirus impacting prices. 4pm @ABC7 https://t.co/Pyzq8YMuV5
8,44960,"Geneva, Switzerland",03-03-2020,"@DrTedros ""We cant stop #COVID19 without protecting #healthworkers.
Prices of surgical masks have increased six-fold, N95 respirators have more than trebled &amp; gowns cost twice as much""-@DrTedros #coronavirus",Neutral,"['@', 'DrTedros', '``', 'We', 'can\x92t', 'stop', '#', 'COVID19', 'without', 'protecting', '#', 'healthworkers', '.', 'Prices', 'of', 'surgical', 'masks', 'have', 'increased', 'six-fold', ',', 'N95', 'respirators', 'have', 'more', 'than', 'trebled', '&', 'amp', ';', 'gowns', 'cost', 'twice', 'as', 'much', ""''"", '-', '@', 'DrTedros', '#', 'coronavirus']","@DrTedros ""We cant stop #COVID19 without protecting #healthworkers. Prices surgical masks increased six-fold, N95 respirators trebled &amp; gowns cost twice much""-@DrTedros #coronavirus"
10,44962,"Dublin, Ireland",04-03-2020,"Anyone been in a supermarket over the last few days? Went to do my NORMAL shop last night &amp; ??is the sight that greeted me. Barmy! (Btw, whats so special about tinned tomatoes? ????????????). #Covid_19 #Dublin https://t.co/rGsM8xUxr6",Extremely Positive,"['Anyone', 'been', 'in', 'a', 'supermarket', 'over', 'the', 'last', 'few', 'days', '?', 'Went', 'to', 'do', 'my', 'NORMAL', 'shop', 'last', 'night', '&', 'amp', ';', '?', '?', 'is', 'the', 'sight', 'that', 'greeted', 'me', '.', 'Barmy', '!', '(', 'Btw', ',', 'what\x92s', 'so', 'special', 'about', 'tinned', 'tomatoes', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', ')', '.', '#', 'Covid_19', '#', 'Dublin', 'https', ':', '//t.co/rGsM8xUxr6']","Anyone supermarket last days? Went NORMAL shop last night &amp; ??is sight greeted me. Barmy! (Btw, whats special tinned tomatoes? ????????????). #Covid_19 #Dublin https://t.co/rGsM8xUxr6"
11,44963,"Boksburg, South Africa",04-03-2020,"Best quality couches at unbelievably low prices available to order.

We are in Boksburg GP 

For more info WhatsApp:
084 764 8086

#SuperTuesdsy #PowerTalk 
#Covid_19 #SayEntrepreneur 
#DJSBU https://t.co/HhDJhyQ2Dc",Positive,"['Best', 'quality', 'couches', 'at', 'unbelievably', 'low', 'prices', 'available', 'to', 'order', '.', 'We', 'are', 'in', 'Boksburg', 'GP', 'For', 'more', 'info', 'WhatsApp', ':', '084', '764', '8086', '#', 'SuperTuesdsy', '#', 'PowerTalk', '#', 'Covid_19', '#', 'SayEntrepreneur', '#', 'DJSBU', 'https', ':', '//t.co/HhDJhyQ2Dc']",Best quality couches unbelievably low prices available order. Boksburg GP info WhatsApp: 084 764 8086 #SuperTuesdsy #PowerTalk #Covid_19 #SayEntrepreneur #DJSBU https://t.co/HhDJhyQ2Dc
12,44964,New Delhi,04-03-2020,"Beware of counterfeits trying to sell fake masks at cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi 
#coronavirusindia 

https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc",Extremely Negative,"['Beware', 'of', 'counterfeits', 'trying', 'to', 'sell', 'fake', 'masks', 'at', 'cheap', 'prices', '.', 'Let', ""'s"", 'defeat', 'coronavirus', 'threat', ',', '#', 'Covid_19', 'collectively', '.', '#', 'BeSafe', '#', 'BeACascader', '#', 'CoronavirusReachesDelhi', '#', 'coronavirusindia', 'https', ':', '//t.co/2Ikkmimj4f', 'https', ':', '//t.co/RB9rtt7Nkc']","Beware counterfeits trying sell fake masks cheap prices. Let's defeat coronavirus threat, #Covid_19 collectively. #BeSafe #BeACascader #CoronavirusReachesDelhi #coronavirusindia https://t.co/2Ikkmimj4f https://t.co/RB9rtt7Nkc"
13,44965,"USA, PA",04-03-2020,"Panic food buying in Germany due to #coronavirus has begun.  But the #organic is left behind! #Hamsterkauf

Panic buying is called ""Hamster purchases""(Hamsterkäufe) in German, taken from the way Hamsters stuff their cheeks with food.  

https://t.co/aYQtLLGW1m",Extremely Negative,"['Panic', 'food', 'buying', 'in', 'Germany', 'due', 'to', '#', 'coronavirus', 'has', 'begun', '.', 'But', 'the', '#', 'organic', 'is', 'left', 'behind', '!', '#', 'Hamsterkauf', 'Panic', 'buying', 'is', 'called', '``', 'Hamster', 'purchases', ""''"", '(', 'Hamsterkäufe', ')', 'in', 'German', ',', 'taken', 'from', 'the', 'way', 'Hamsters', 'stuff', 'their', 'cheeks', 'with', 'food', '.', 'https', ':', '//t.co/aYQtLLGW1m']","Panic food buying Germany due #coronavirus begun. #organic left behind! #Hamsterkauf Panic buying called ""Hamster purchases""(Hamsterkäufe) German, taken way Hamsters stuff cheeks food. https://t.co/aYQtLLGW1m"
